1.000	-0.044	-0.259	-0.004	0.012	-0.068	0.030	0.036	0.025	0.042	0.037	-0.053	0.003	-0.066	0.080	0.209	-0.103	-0.068	0.049	0.128	-0.301	-0.136	-0.291	0.301	-0.034	0.095	-0.115	0.490	0.008	0.267	0.094	0.127	0.148	-0.076	-0.314	-0.274
-0.044	1.000	-0.167	0.371	-0.547	-0.086	-0.154	-0.195	-0.141	-0.193	-0.085	-0.146	-0.342	-0.126	-0.069	0.173	0.333	0.389	-0.230	-0.570	-0.168	-0.090	-0.143	0.168	-0.012	0.027	-0.076	-0.127	-0.006	-0.174	-0.169	-0.089	-0.233	0.050	0.165	0.120
-0.259	-0.167	1.000	0.195	0.216	0.288	-0.508	-0.452	-0.514	-0.514	-0.049	0.042	-0.284	-0.319	-0.533	-0.770	0.394	0.416	-0.499	0.032	0.192	-0.139	0.517	-0.192	0.054	-0.001	-0.133	0.246	-0.052	-0.005	-0.335	-0.178	-0.426	-0.294	-0.235	-0.167
-0.004	0.371	0.195	1.000	-0.368	-0.224	-0.370	-0.323	-0.407	-0.425	-0.090	-0.195	-0.500	-0.194	-0.285	-0.181	0.533	0.694	-0.661	-0.263	-0.436	-0.528	0.064	0.436	0.038	0.061	-0.273	0.093	-0.058	-0.009	-0.232	-0.142	-0.332	-0.056	-0.138	-0.126
0.012	-0.547	0.216	-0.368	1.000	0.467	0.121	0.153	0.141	0.145	0.117	0.162	0.296	0.096	-0.015	-0.191	-0.181	-0.269	0.137	0.397	0.201	0.045	0.263	-0.201	0.105	-0.155	0.137	0.161	-0.004	0.002	0.066	0.037	0.057	0.002	-0.057	-0.078
-0.068	-0.086	0.288	-0.224	0.467	1.000	-0.225	-0.236	-0.184	-0.215	0.133	0.138	-0.153	-0.167	-0.357	-0.274	0.124	0.088	-0.026	-0.256	0.205	0.057	0.251	-0.205	-0.026	-0.039	0.167	0.117	-0.046	-0.173	-0.307	-0.165	-0.432	-0.043	0.117	0.130
0.030	-0.154	-0.508	-0.370	0.121	-0.225	1.000	0.963	0.978	0.993	0.012	0.420	0.813	0.807	0.744	0.555	-0.644	-0.704	0.672	0.386	-0.004	0.200	-0.300	0.004	0.007	-0.079	0.205	-0.206	0.035	-0.061	0.550	0.271	0.514	0.145	0.297	0.123
0.036	-0.195	-0.452	-0.323	0.153	-0.236	0.963	1.000	0.887	0.947	0.032	0.436	0.797	0.758	0.673	0.511	-0.579	-0.647	0.578	0.446	0.019	0.155	-0.197	-0.019	0.122	-0.185	0.136	-0.131	0.010	0.007	0.555	0.252	0.474	0.132	0.235	0.044
0.025	-0.141	-0.514	-0.407	0.141	-0.184	0.978	0.887	1.000	0.980	-0.001	0.392	0.796	0.801	0.757	0.552	-0.669	-0.721	0.714	0.338	-0.009	0.227	-0.350	0.009	-0.073	-0.003	0.250	-0.242	0.052	-0.110	0.519	0.271	0.519	0.150	0.323	0.174
0.042	-0.193	-0.514	-0.425	0.145	-0.215	0.993	0.947	0.980	1.000	0.015	0.372	0.833	0.810	0.779	0.564	-0.723	-0.770	0.742	0.425	0.022	0.235	-0.310	-0.022	0.004	-0.077	0.212	-0.214	0.039	-0.044	0.570	0.283	0.556	0.138	0.292	0.126
0.037	-0.085	-0.049	-0.090	0.117	0.133	0.012	0.032	-0.001	0.015	1.000	-0.066	0.006	-0.083	-0.196	-0.171	-0.011	-0.084	0.027	0.112	0.137	0.152	0.001	-0.137	0.137	-0.126	-0.053	-0.031	-0.082	-0.026	0.060	0.110	0.067	-0.052	-0.039	-0.030
-0.053	-0.146	0.042	-0.195	0.162	0.138	0.420	0.436	0.392	0.372	-0.066	1.000	0.400	0.094	-0.161	-0.142	0.002	-0.092	0.056	0.035	0.260	0.237	0.076	-0.260	0.068	-0.106	0.064	0.072	0.016	-0.144	0.209	0.188	-0.010	-0.021	0.075	-0.036
0.003	-0.342	-0.284	-0.500	0.296	-0.153	0.813	0.797	0.796	0.833	0.006	0.400	1.000	0.592	0.517	0.228	-0.690	-0.724	0.662	0.507	0.190	0.352	-0.208	-0.190	0.150	-0.203	0.106	-0.160	0.031	-0.005	0.538	0.268	0.583	0.080	0.172	0.061
-0.066	-0.126	-0.319	-0.194	0.096	-0.167	0.807	0.758	0.801	0.810	-0.083	0.094	0.592	1.000	0.689	0.423	-0.559	-0.578	0.560	0.330	-0.164	-0.049	-0.195	0.164	-0.114	0.057	0.237	-0.236	-0.003	-0.099	0.367	0.150	0.379	0.101	0.340	0.198
0.080	-0.069	-0.533	-0.285	-0.015	-0.357	0.744	0.673	0.757	0.779	-0.196	-0.161	0.517	0.689	1.000	0.700	-0.721	-0.699	0.709	0.365	-0.133	0.101	-0.366	0.133	-0.108	0.052	0.206	-0.239	0.079	0.065	0.452	0.182	0.543	0.147	0.224	0.100
0.209	0.173	-0.770	-0.181	-0.191	-0.274	0.555	0.511	0.552	0.564	-0.171	-0.142	0.228	0.423	0.700	1.000	-0.448	-0.434	0.503	0.060	-0.259	-0.001	-0.421	0.259	-0.063	0.009	0.129	-0.150	0.039	0.052	0.298	0.059	0.316	0.250	0.241	0.184
-0.103	0.333	0.394	0.533	-0.181	0.124	-0.644	-0.579	-0.669	-0.723	-0.011	0.002	-0.690	-0.559	-0.721	-0.448	1.000	0.845	-0.897	-0.485	-0.141	-0.340	0.269	0.141	-0.044	0.097	-0.141	0.159	-0.041	-0.037	-0.531	-0.263	-0.578	-0.037	-0.148	-0.089
-0.068	0.389	0.416	0.694	-0.269	0.088	-0.704	-0.647	-0.721	-0.770	-0.084	-0.092	-0.724	-0.578	-0.699	-0.434	0.845	1.000	-0.927	-0.542	-0.260	-0.439	0.221	0.260	-0.009	0.079	-0.210	0.210	-0.040	-0.068	-0.530	-0.303	-0.653	-0.086	-0.201	-0.115
0.049	-0.230	-0.499	-0.661	0.137	-0.026	0.672	0.578	0.714	0.742	0.027	0.056	0.662	0.560	0.709	0.503	-0.897	-0.927	1.000	0.253	0.232	0.448	-0.280	-0.232	-0.027	-0.053	0.227	-0.248	0.063	-0.036	0.470	0.255	0.575	0.107	0.266	0.187
0.128	-0.570	0.032	-0.263	0.397	-0.256	0.386	0.446	0.338	0.425	0.112	0.035	0.507	0.330	0.365	0.060	-0.485	-0.542	0.253	1.000	0.073	0.090	-0.013	-0.073	0.145	-0.132	-0.018	0.051	-0.039	0.282	0.441	0.242	0.466	-0.069	-0.133	-0.166
-0.301	-0.168	0.192	-0.436	0.201	0.205	-0.004	0.019	-0.009	0.022	0.137	0.260	0.190	-0.164	-0.133	-0.259	-0.141	-0.260	0.232	0.073	1.000	0.798	0.461	-1.000	0.224	-0.298	0.064	-0.080	-0.061	-0.173	0.169	0.144	0.059	-0.114	0.141	0.034
-0.136	-0.090	-0.139	-0.528	0.045	0.057	0.200	0.155	0.227	0.235	0.152	0.237	0.352	-0.049	0.101	-0.001	-0.340	-0.439	0.448	0.090	0.798	1.000	-0.168	-0.798	0.056	-0.143	0.165	-0.252	-0.044	-0.166	0.338	0.264	0.293	-0.020	0.179	0.135
-0.291	-0.143	0.517	0.064	0.263	0.251	-0.300	-0.197	-0.350	-0.310	0.001	0.076	-0.208	-0.195	-0.366	-0.421	0.269	0.221	-0.280	-0.013	0.461	-0.168	1.000	-0.461	0.283	-0.278	-0.139	0.240	-0.035	-0.038	-0.220	-0.153	-0.335	-0.157	-0.032	-0.143
0.301	0.168	-0.192	0.436	-0.201	-0.205	0.004	-0.019	0.009	-0.022	-0.137	-0.260	-0.190	0.164	0.133	0.259	0.141	0.260	-0.232	-0.073	-1.000	-0.798	-0.461	1.000	-0.224	0.298	-0.064	0.080	0.061	0.173	-0.169	-0.144	-0.059	0.114	-0.141	-0.034
-0.034	-0.012	0.054	0.038	0.105	-0.026	0.007	0.122	-0.073	0.004	0.137	0.068	0.150	-0.114	-0.108	-0.063	-0.044	-0.009	-0.027	0.145	0.224	0.056	0.283	-0.224	1.000	-0.941	-0.572	0.117	-0.050	0.010	0.175	0.107	0.015	0.009	-0.104	-0.182
0.095	0.027	-0.001	0.061	-0.155	-0.039	-0.079	-0.185	-0.003	-0.077	-0.126	-0.106	-0.203	0.057	0.052	0.009	0.097	0.079	-0.053	-0.132	-0.298	-0.143	-0.278	0.298	-0.941	1.000	0.273	-0.073	0.016	0.022	-0.167	-0.092	0.004	-0.019	0.039	0.099
-0.115	-0.076	-0.133	-0.273	0.137	0.167	0.205	0.136	0.250	0.212	-0.053	0.064	0.106	0.237	0.206	0.129	-0.141	-0.210	0.227	-0.018	0.064	0.165	-0.139	-0.064	-0.572	0.273	1.000	-0.163	0.105	-0.058	-0.055	-0.026	0.008	0.005	0.198	0.244
0.490	-0.127	0.246	0.093	0.161	0.117	-0.206	-0.131	-0.242	-0.214	-0.031	0.072	-0.160	-0.236	-0.239	-0.150	0.159	0.210	-0.248	0.051	-0.080	-0.252	0.240	0.080	0.117	-0.073	-0.163	1.000	-0.094	0.126	-0.218	-0.366	-0.365	-0.146	-0.420	-0.343
0.008	-0.006	-0.052	-0.058	-0.004	-0.046	0.035	0.010	0.052	0.039	-0.082	0.016	0.031	-0.003	0.079	0.039	-0.041	-0.040	0.063	-0.039	-0.061	-0.044	-0.035	0.061	-0.050	0.016	0.105	-0.094	1.000	0.138	-0.020	0.146	0.089	0.051	0.079	0.122
0.267	-0.174	-0.005	-0.009	0.002	-0.173	-0.061	0.007	-0.110	-0.044	-0.026	-0.144	-0.005	-0.099	0.065	0.052	-0.037	-0.068	-0.036	0.282	-0.173	-0.166	-0.038	0.173	0.010	0.022	-0.058	0.126	0.138	1.000	0.223	0.140	0.216	-0.000	-0.211	-0.293
0.094	-0.169	-0.335	-0.232	0.066	-0.307	0.550	0.555	0.519	0.570	0.060	0.209	0.538	0.367	0.452	0.298	-0.531	-0.530	0.470	0.441	0.169	0.338	-0.220	-0.169	0.175	-0.167	-0.055	-0.218	-0.020	0.223	1.000	0.551	0.641	0.073	0.134	-0.047
0.127	-0.089	-0.178	-0.142	0.037	-0.165	0.271	0.252	0.271	0.283	0.110	0.188	0.268	0.150	0.182	0.059	-0.263	-0.303	0.255	0.242	0.144	0.264	-0.153	-0.144	0.107	-0.092	-0.026	-0.366	0.146	0.140	0.551	1.000	0.498	-0.027	0.125	-0.027
0.148	-0.233	-0.426	-0.332	0.057	-0.432	0.514	0.474	0.519	0.556	0.067	-0.010	0.583	0.379	0.543	0.316	-0.578	-0.653	0.575	0.466	0.059	0.293	-0.335	-0.059	0.015	0.004	0.008	-0.365	0.089	0.216	0.641	0.498	1.000	0.165	0.185	0.065
-0.076	0.050	-0.294	-0.056	0.002	-0.043	0.145	0.132	0.150	0.138	-0.052	-0.021	0.080	0.101	0.147	0.250	-0.037	-0.086	0.107	-0.069	-0.114	-0.020	-0.157	0.114	0.009	-0.019	0.005	-0.146	0.051	-0.000	0.073	-0.027	0.165	1.000	0.395	0.393
-0.314	0.165	-0.235	-0.138	-0.057	0.117	0.297	0.235	0.323	0.292	-0.039	0.075	0.172	0.340	0.224	0.241	-0.148	-0.201	0.266	-0.133	0.141	0.179	-0.032	-0.141	-0.104	0.039	0.198	-0.420	0.079	-0.211	0.134	0.125	0.185	0.395	1.000	0.680
-0.274	0.120	-0.167	-0.126	-0.078	0.130	0.123	0.044	0.174	0.126	-0.030	-0.036	0.061	0.198	0.100	0.184	-0.089	-0.115	0.187	-0.166	0.034	0.135	-0.143	-0.034	-0.182	0.099	0.244	-0.343	0.122	-0.293	-0.047	-0.027	0.065	0.393	0.680	1.000
